numSteps,cadence,skewness,kurtosis,gaitVelocity,stepLength,ratio,stepTime,avgPower,snr,thd,weight,drinks,gender
12,1.1638,1.6739,6.1112,0.096984,-1.9231,0.47392,3.6547,32307,-2.9788,#NAME?,122,0,male
15,1.456,1.415,5.0284,0.097069,4.3077,0.81734,11.538,33805,-1.9759,#NAME?,122,0,male
12,1.198,1.1176,4.2467,0.09983,-1.9231,0.67603,4.3586,28407,-2.9645,-2.0745,122,0,male
15,1.6079,0.93506,3.7782,0.10719,4.3077,NaN,14.789,18244,2.8191,-8.7465,122,0,male
11,1.0969,1.2978,5.2158,0.099721,-3.6923,NaN,2.0382,27210,-2.2335,-2.0166,122,0,male
13,1.2708,1.1483,4.1973,0.097752,-1.11E-15,0.30816,6.29,19816,-4.9019,#NAME?,122,0,male
20,1.8121,1.2465,5.1838,0.090604,17.769,NaN,25.205,20587,-7.0386,0.49005,122,0,male
25,2.2478,1.2617,4.8794,0.089912,35.077,0.41394,45.073,22303,-6.5984,-1.9757,122,0,male
13,1.2372,1.1384,4.17,0.095166,1.11E-16,0.46325,5.575,34973,-5.616,#NAME?,122,0,male
11,1.1208,1.4894,6.1939,0.1019,-3.6923,0.55349,2.5153,26808,-4.0804,#NAME?,122,0,male
15,1.6271,0.56842,2.9307,0.10847,4.3077,NaN,15.187,5180.7,-4.6741,-5.7835,136,0,male
14,1.427,0.73499,3.024,0.10193,2.0769,NaN,10.167,4697,-1.5067,-13.344,136,0,male
14,1.3713,0.5242,2.7216,0.097953,2.0769,NaN,8.9897,5570.4,-1.2189,-14.67,136,0,male
12,1.236,0.72043,3.5445,0.103,-1.9231,NaN,5.1226,4338.6,-1.6382,-12.553,136,0,male
12,1.1414,0.95216,3.7556,0.09512,-1.9231,NaN,3.1843,4764.4,-0.51284,-7.8714,136,0,male
12,1.1625,0.61903,2.89,0.096871,-1.9231,NaN,3.6264,4431.9,-2.991,-5.8607,136,0,male
13,1.2489,0.59597,3.558,0.096071,1.11E-15,NaN,5.8269,5590.2,-1.5011,-7.6411,136,0,male
14,1.37,0.78676,3.62,0.097857,2.0769,NaN,8.961,5811.1,0.71188,-7.8574,136,0,male
13,1.3242,0.53141,2.8435,0.10186,-1.33E-15,NaN,7.398,5301.6,0.58891,-18.126,136,0,male
14,1.3068,0.63138,3.059,0.093345,2.0769,NaN,7.5825,5807.1,-4.7803,-10.757,136,0,male
13,1.2376,1.1045,4.5902,0.095202,-4.44E-16,0.79533,5.5851,3418,-4.2757,#NAME?,70,0,female
13,1.2401,1.2597,5.0632,0.095393,5.55E-16,NaN,5.6383,3476.6,-4.2499,#NAME?,70,0,female
10,1.0733,1.4471,5.2348,0.10733,-5.3077,0.68768,1.4161,4418.2,-4.2082,#NAME?,70,0,female
21,1.9003,1.1386,4.4003,0.09049,20.923,0.62963,28.855,6079.6,-2.0972,-1.2521,70,0,female
13,1.2136,1.1782,5.1707,0.093353,-7.77E-16,0.91637,5.0647,3932,-0.76214,#NAME?,70,0,female
15,1.4007,0.87873,3.9989,0.093379,4.3077,0.66443,10.301,3594.7,-1.53,-2.7361,70,0,female
13,1.2725,1.1413,4.6492,0.097886,-6.66E-16,0.7673,6.3267,3630.8,-2.5501,#NAME?,70,0,female
11,1.0574,1.4985,5.9196,0.096126,-3.6923,0.30517,1.2283,4641.6,-3.5046,#NAME?,70,0,female
23,2.1534,1.1231,4.4129,0.093624,27.692,0.67817,38.846,5082.4,-2.8097,0.052784,70,0,female
15,1.4033,1.2057,4.7008,0.093554,4.3077,NaN,10.361,5539.5,-2.1503,-0.4358,70,0,female
18,1.6696,1.4105,5.3822,0.092756,11.923,NaN,19.272,41001,-5.4744,-10.346,122,1,male
11,1.1197,1.7896,7.4946,0.10179,-3.6923,0.85469,2.4928,37643,-4.8277,-3.4488,122,1,male
12,1.1986,1.4355,5.2751,0.09988,-1.9231,0.34005,4.3707,43563,-3.9994,#NAME?,122,1,male
12,1.1196,0.66727,3.1627,0.093301,-1.9231,NaN,2.7173,5294.2,-1.7911,-3.4758,136,1,male
12,1.2864,0.60685,3.252,0.1072,-1.9231,NaN,6.1094,6645.2,0.31282,-19.317,136,1,male
13,1.2258,0.74805,3.5897,0.094295,-2.22E-16,0.30208,5.3309,6418.4,-1.7367,-3.3972,136,1,male
14,1.309,1.1712,4.5217,0.093502,2.0769,0.8306,7.6313,7595,-4.753,#NAME?,70,1,female
14,1.3815,1.0955,4.6955,0.098678,2.0769,NaN,9.2068,5507.7,-3.1163,-2.9716,70,1,female
18,1.7296,1.1846,4.723,0.096089,11.923,NaN,20.726,6662.8,-3.953,-0.99047,70,1,female
13,1.3249,1.3041,4.7659,0.10192,1.4433e-15,0.93586,7.4118,24054,-1.1882,-Inf,122,2,male
13,1.2704,1.1417,4.2968,0.097723,1.3323e-15,0.55759,6.2822,23442,-0.25951,-6.1586,122,2,male
20,2.0272,1.0594,4.0206,0.10136,17.769,0.65889,30.677,23860,-6.9652,-0.8484,122,2,male
11,1.0678,0.6964,3.2959,0.097069,-3.6923,NaN,1.4433,5263.3,-3.5157,-5.0586,136,2,male
13,1.2368,0.60824,3.5941,0.095138,5.5511e-16,0.45459,5.5674,4574.6,0.52533,-11.444,136,2,male
18,1.8145,0.41238,2.719,0.10081,11.923,NaN,22.741,5050.4,0.29513,-18.457,136,2,male
16,1.5395,0.98101,3.9126,0.096219,6.6923,0.71116,14.239,7126,-3.2631,-5.3972,70,2,female
12,1.4937,1.383,4.8402,0.12447,-1.9231,0.54893,9.8898,6053.2,-1.4886,-Inf,70,2,female
7,0.95316,1.7986,7.8227,0.13617,-9.2308,0.4671,-0.67189,5195.5,-0.19401,-Inf,70,2,female
16,1.5842,0.92744,3.2491,0.09901,6.6923,NaN,15.247,22078,-3.1244,-6.5504,122,3,male
21,1.9659,1.0296,3.8396,0.093615,20.923,NaN,30.602,27885,-3.7375,-7.2054,122,3,male
15,1.4681,0.78804,3.2157,0.097876,4.3077,NaN,11.805,15277,-4.0486,-3.8587,122,3,male
14,1.3445,0.73451,3.1234,0.096034,2.0769,NaN,8.4096,5430.1,-3.1036,-12.889,136,3,male
12,1.1312,0.64977,3.317,0.094268,-1.9231,NaN,2.9667,5779.1,-0.81772,-13.136,136,3,male
14,1.3707,0.75804,3.4996,0.097905,2.0769,NaN,8.9753,5259.4,-1.0264,-4.894,136,3,male
14,1.4257,0.66682,3.6641,0.10183,2.0769,NaN,10.139,4949.6,-2.042,-Inf,70,3,female
13,1.214,1.0026,4.5207,0.093388,6.6613e-16,0.95398,5.0746,4776.3,-1.1319,-Inf,70,3
13,1.2726,0.88118,4.2407,0.097895,-1.1102e-16,0.80298,6.3293,5936.7,-2.8329,-Inf,70,3
16,1.5084,1.1617,3.7612,0.094277,6.6923,0.31617,13.528,21496,-4.2495,-Inf,122,4,male
12,1.391,0.97795,3.4678,0.11592,-1.9231,NaN,8.0648,24390,-1.4227,-Inf,122,4,male
12,1.1627,0.9384,3.4852,0.09689,-1.9231,NaN,3.6311,18726,-0.3222,-9.4584,122,4,male
10,0.94331,1.5378,7.2474,0.094331,-5.3077,0.25953,-1.1679,22830,-5.7629,-2.584,72,4,male
12,1.1745,0.61587,3.0325,0.097876,-1.9231,NaN,3.8772,5378.8,-2.8678,-11.623,136,4,male
13,1.3369,0.41545,2.6349,0.10284,2.2204e-16,NaN,7.6557,5616.9,0.95982,-15.94,136,4,male
32,2.8594,0.67067,3.3217,0.089358,65.769,NaN,80.311,5166.9,-4.3722,-3.7083,136,4,male
14,1.3855,1.2459,4.9561,0.098961,2.0769,0.98709,9.2913,5225.6,-2.7492,-Inf,70,4,female
12,1.1867,1.6398,6.4024,0.098892,-1.9231,0.74552,4.1285,5954.5,-3.3449,-Inf,70,4,female
10,0.97943,1.4882,5.3119,0.097943,-5.3077,0.66841,-0.41568,6607.3,-2.1506,-Inf,70,4,female
16,1.4935,1.2349,4.0909,0.093345,6.6923,0.87092,13.183,38236,-6.2163,-Inf,122,5
18,1.5521,1.2106,4.2527,0.086229,11.923,0.61403,16.341,33328,-3.0377,-Inf,122,5
11,1.088,1.5526,6.4543,0.098912,-3.6923,0.45497,1.8583,19372,-2.967,-8.8628,122,5
27,2.5269,0.63611,3.0703,0.093589,43.077,0.19092,57.541,6390,-4.3044,-14.184,136,5
