Time (s),x,y,z
0.006,0.17,0.25,1.09
0.008,0.17,0.25,1.1
0.009,0.17,0.26,1.11
0.018,0.18,0.24,1.11
0.019,0.18,0.22,1.08
0.024,0.19,0.21,1.02
0.031,0.2,0.2,0.94
0.033,0.2,0.2,0.93
0.039,0.2,0.2,0.91
0.046,0.21,0.2,0.9
0.049,0.21,0.2,0.86
0.054,0.21,0.21,0.87
0.063,0.2,0.22,0.86
0.064,0.2,0.22,0.89
0.069,0.2,0.23,0.91
0.073,0.2,0.23,0.94
0.08,0.2,0.24,0.95
0.084,0.21,0.24,0.96
0.088,0.2,0.25,0.98
0.098,0.2,0.25,0.98
0.1,0.2,0.26,0.96
0.102,0.18,0.28,0.98
0.107,0.18,0.29,0.98
0.116,0.19,0.28,0.99
0.118,0.18,0.28,0.99
0.123,0.18,0.28,0.98
0.132,0.17,0.26,0.99
0.133,0.17,0.25,0.99
0.138,0.18,0.24,0.97
0.149,0.17,0.23,0.98
0.151,0.19,0.22,0.99
0.153,0.2,0.23,0.98
0.157,0.21,0.24,0.97
0.168,0.21,0.24,0.97
0.169,0.21,0.25,0.96
0.171,0.21,0.26,0.97
0.183,0.21,0.26,0.95
0.185,0.2,0.27,0.95
0.187,0.19,0.27,0.96
0.198,0.19,0.27,0.94
0.2,0.19,0.25,0.94
0.202,0.18,0.24,0.93
0.206,0.19,0.22,0.92
0.217,0.19,0.22,0.9
0.218,0.18,0.21,0.91
0.221,0.18,0.21,0.92
0.231,0.18,0.22,0.93
0.233,0.18,0.23,0.96
0.237,0.17,0.23,1
0.241,0.18,0.24,1.01
0.249,0.19,0.23,1.03
0.251,0.2,0.24,1.03
0.256,0.19,0.23,1.01
0.266,0.19,0.24,1
0.268,0.19,0.23,1
0.271,0.2,0.22,1.01
0.282,0.19,0.21,0.97
0.284,0.2,0.2,0.94
0.287,0.2,0.19,0.95
0.298,0.2,0.18,0.9
0.3,0.2,0.18,0.91
0.302,0.2,0.19,0.89
0.305,0.19,0.19,0.89
0.315,0.18,0.19,0.89
0.317,0.18,0.2,0.88
0.321,0.17,0.19,0.89
0.332,0.16,0.18,0.93
0.334,0.17,0.19,0.93
0.335,0.17,0.18,0.94
0.34,0.17,0.18,0.93
0.349,0.15,0.18,0.92
0.351,0.17,0.19,0.91
0.356,0.17,0.19,0.92
0.365,0.18,0.21,0.96
0.367,0.16,0.21,0.98
0.37,0.14,0.22,0.98
0.374,0.16,0.22,0.98
0.384,0.16,0.22,0.98
0.385,0.18,0.2,0.97
0.39,0.18,0.19,0.93
0.399,0.2,0.18,0.91
0.401,0.22,0.15,0.88
0.403,0.22,0.13,0.85
0.414,0.21,0.12,0.83
0.417,0.2,0.11,0.8
0.419,0.21,0.1,0.74
0.433,0.19,0.09,0.81
0.435,0.17,0.1,0.87
0.437,0.14,0.12,0.92
0.44,0.11,0.13,0.95
0.449,0.09,0.15,0.97
0.45,0.07,0.17,1.01
0.454,0.06,0.19,1.04
0.463,0.05,0.2,1.07
0.465,0.04,0.21,1.06
0.469,0.03,0.22,1.04
0.473,0.05,0.21,1.01
0.482,0.07,0.21,0.98
0.484,0.08,0.16,0.99
0.489,0.08,0.13,1.01
0.497,0.11,0.11,1.02
0.499,0.12,0.09,1.04
0.504,0.11,0.09,1.05
0.513,0.08,0.1,1.06
0.515,0.04,0.1,1.05
0.519,0.03,0.11,1.03
0.523,0.02,0.1,1.01
0.531,0,0.11,1
0.533,-0.01,0.11,1.01
0.537,-0.01,0.1,0.99
0.547,-0.01,0.09,0.99
0.548,0,0.06,1
0.553,-0.01,0.1,1.01
0.564,-0.01,0.13,1.01
0.566,-0.02,0.14,1.03
0.568,-0.02,0.13,1.05
0.581,-0.04,0.12,1.08
0.583,-0.04,0.11,1.05
0.584,-0.06,0.1,1.01
0.588,-0.06,0.09,0.98
0.598,-0.08,0.08,0.95
0.601,-0.08,0.07,0.98
0.603,-0.11,0.06,1.06
0.607,-0.11,0.09,1.11
0.618,-0.13,0.11,1.13
0.621,-0.15,0.14,1.11
0.623,-0.19,0.17,1.06
0.634,-0.17,0.18,1.05
0.636,-0.13,0.18,1.06
0.638,-0.1,0.17,0.99
0.647,-0.07,0.14,0.9
0.648,-0.05,0.11,0.84
0.652,-0.02,0.09,0.8
0.664,-0.01,0.09,0.8
0.666,0,0.11,0.81
0.667,-0.01,0.13,0.81
0.673,-0.04,0.14,0.83
0.683,-0.07,0.13,0.86
0.685,-0.08,0.1,0.94
0.687,-0.06,0.07,1.02
0.698,-0.02,0.06,1.08
0.7,0,0.07,1.12
0.702,0.02,0.09,1.11
0.706,0.04,0.12,1.11
0.715,0.05,0.12,1.09
0.717,0.05,0.1,1.06
0.721,0.04,0.07,1.06
0.731,0.04,0.03,1.06
0.733,0.03,0.01,1.07
0.737,0.04,0.01,1.09
0.747,0.06,0.03,1.08
0.749,0.06,0.03,1.1
0.75,0.12,-0.01,1.14
0.756,0.09,-0.06,1.09
0.766,0.05,-0.02,1.1
0.768,0.03,0.05,1.16
0.77,0.02,0.13,1.22
0.781,0.02,0.16,1.24
0.783,0.04,0.16,1.25
0.785,0.1,0.12,1.22
0.797,0.1,0.1,1.12
0.799,0.04,0.07,1.05
0.8,-0.03,0.03,0.99
0.805,-0.08,0.01,0.88
0.814,-0.14,0.02,0.83
0.816,-0.17,0.04,0.79
0.819,-0.17,0.06,0.78
0.83,-0.18,0.09,0.85
0.832,-0.14,0.09,0.88
0.834,-0.1,0.05,0.91
0.839,-0.05,0.01,1
0.849,-0.01,-0.05,1.11
0.85,0.04,-0.13,1.24
0.855,0.08,-0.24,1.43
0.867,0.14,-0.28,1.65
0.87,0.19,-0.14,1.72
0.872,0.22,0.11,1.59
0.874,0.19,0.24,1.37
0.885,0.16,0.27,1.22
0.886,0.12,0.16,1.06
0.889,0.1,0.05,1.03
0.897,0.09,-0.04,0.99
0.899,0.08,-0.09,1
0.903,0.07,-0.09,1.05
0.912,0.07,-0.09,1.08
0.914,0.06,-0.06,1.09
0.919,0.03,-0.02,1.09
0.923,0.02,0.03,1.09
0.931,-0.01,0.05,1.09
0.933,-0.02,0.06,1.13
0.94,-0.08,0.03,1.1
0.949,-0.18,0.04,1.05
0.951,-0.2,0.04,1.05
0.954,-0.13,0.03,1.12
0.964,-0.07,0.05,1.12
0.966,-0.06,0.07,1.08
0.968,-0.07,0.08,1.05
0.98,-0.06,0.08,1.09
0.983,-0.05,0.06,1.11
0.984,-0.03,0.03,1.06
0.988,-0.05,0.04,1.03
0.998,-0.07,0.03,0.99
1,-0.09,0.04,1
1.003,-0.11,0.04,1.01
1.012,-0.12,0.04,1
1.014,-0.11,0.02,1
1.018,-0.11,0.03,1.01
1.022,-0.13,0.05,1.04
1.031,-0.13,0.05,1.06
1.033,-0.14,0.08,1.09
1.037,-0.13,0.09,1.11
1.046,-0.15,0.1,1.13
1.048,-0.14,0.08,1.14
1.053,-0.15,0.04,1.09
1.063,-0.12,0.03,1.08
1.065,-0.12,0.04,1.05
1.067,-0.12,0.03,1.02
1.072,-0.12,0.03,1.01
1.082,-0.15,0.02,0.95
1.084,-0.17,0.03,0.92
1.087,-0.2,0.04,0.91
1.097,-0.21,0.04,0.87
1.099,-0.22,0.04,0.88
1.101,-0.21,0.02,0.84
1.114,-0.2,0,0.81
1.115,-0.17,-0.01,0.79
1.117,-0.15,0,0.8
1.12,-0.14,-0.02,0.84
1.129,-0.13,-0.02,0.89
1.132,-0.12,-0.02,0.95
1.136,-0.14,-0.02,0.98
1.146,-0.17,0,1.01
1.147,-0.2,0.02,1.03
1.152,-0.22,0.03,1.06
1.156,-0.24,0.03,1.04
1.165,-0.25,0.02,1.05
1.167,-0.25,0.03,1.05
1.171,-0.24,0.02,1.02
1.178,-0.24,0.01,0.95
1.18,-0.22,-0.01,0.97
1.186,-0.23,-0.03,0.94
1.198,-0.25,-0.04,0.9
1.2,-0.24,-0.05,0.87
1.201,-0.24,-0.05,0.8
1.205,-0.25,-0.05,0.77
1.215,-0.24,-0.05,0.72
1.217,-0.24,-0.06,0.66
1.22,-0.22,-0.07,0.65
1.23,-0.23,-0.08,0.67
1.232,-0.21,-0.09,0.71
1.236,-0.21,-0.11,0.77
1.247,-0.2,-0.12,0.84
1.249,-0.2,-0.14,0.88
1.25,-0.19,-0.15,0.86
1.255,-0.21,-0.16,0.82
1.266,-0.21,-0.16,0.75
1.269,-0.22,-0.15,0.71
1.271,-0.24,-0.15,0.65
1.283,-0.28,-0.15,0.62
1.285,-0.32,-0.14,0.63
1.287,-0.38,-0.12,0.72
1.29,-0.44,-0.09,0.83
1.298,-0.51,-0.06,0.92
1.3,-0.54,-0.02,1.06
1.303,-0.55,0.02,1.17
1.313,-0.55,0.03,1.26
1.315,-0.54,0.03,1.33
1.319,-0.53,0.01,1.38
1.33,-0.51,0,1.41
1.331,-0.5,-0.02,1.42
1.333,-0.51,-0.04,1.35
1.338,-0.53,-0.02,1.33
1.347,-0.53,-0.02,1.29
1.349,-0.52,-0.01,1.24
1.353,-0.49,0,1.2
1.363,-0.45,-0.02,1.13
1.364,-0.42,-0.03,1.1
1.37,-0.38,-0.06,1.08
1.38,-0.34,-0.1,1.08
1.382,-0.3,-0.12,1.06
1.384,-0.29,-0.14,1.06
1.395,-0.26,-0.14,1.03
1.397,-0.24,-0.15,1.03
1.398,-0.22,-0.15,1.09
1.403,-0.19,-0.15,1.13
1.411,-0.18,-0.16,1.16
1.413,-0.18,-0.17,1.19
1.418,-0.18,-0.16,1.2
1.428,-0.18,-0.16,1.21
1.43,-0.2,-0.15,1.19
1.433,-0.21,-0.17,1.17
1.438,-0.23,-0.18,1.17
1.448,-0.26,-0.19,1.17
1.449,-0.29,-0.19,1.17
1.453,-0.28,-0.17,1.2
1.464,-0.25,-0.16,1.2
1.465,-0.19,-0.18,1.2
1.468,-0.15,-0.2,1.22
1.479,-0.12,-0.23,1.19
1.481,-0.11,-0.25,1.18
1.483,-0.12,-0.26,1.14
1.486,-0.13,-0.26,1.08
1.496,-0.15,-0.26,1.04
1.497,-0.17,-0.25,1.01
1.501,-0.19,-0.24,0.97
1.512,-0.19,-0.24,0.96
1.514,-0.18,-0.27,0.92
1.516,-0.18,-0.27,0.9
1.521,-0.18,-0.29,0.89
1.531,-0.19,-0.3,0.91
1.533,-0.2,-0.3,0.9
1.535,-0.2,-0.28,0.88
1.546,-0.22,-0.27,0.86
1.547,-0.23,-0.25,0.84
1.552,-0.24,-0.25,0.86
1.563,-0.25,-0.25,0.85
1.564,-0.25,-0.27,0.86
1.566,-0.24,-0.27,0.85
1.571,-0.24,-0.27,0.83
1.583,-0.23,-0.27,0.81
1.586,-0.21,-0.26,0.81
1.588,-0.19,-0.26,0.83
1.591,-0.19,-0.26,0.83
1.603,-0.2,-0.25,0.84
1.606,-0.2,-0.24,0.85
1.608,-0.21,-0.25,0.85
1.611,-0.22,-0.25,0.85
1.623,-0.23,-0.25,0.84
1.625,-0.23,-0.26,0.83
1.626,-0.2,-0.26,0.85
1.63,-0.19,-0.26,0.83
1.635,-0.2,-0.26,0.83
1.647,-0.2,-0.27,0.83
1.65,-0.17,-0.26,0.87
1.651,-0.14,-0.26,0.91
1.654,-0.13,-0.26,0.94
1.665,-0.13,-0.28,0.98
1.668,-0.11,-0.29,1.02
1.671,-0.11,-0.28,1.02
1.684,-0.12,-0.28,1.02
1.686,-0.13,-0.28,1.01
1.689,-0.15,-0.27,0.97
1.69,-0.16,-0.25,0.94
1.701,-0.18,-0.25,0.92
1.703,-0.18,-0.23,0.92
1.705,-0.19,-0.22,0.94
1.713,-0.2,-0.21,0.96
1.715,-0.2,-0.21,0.97
1.719,-0.2,-0.2,0.99
1.728,-0.18,-0.21,1
1.73,-0.15,-0.21,1.02
1.734,-0.13,-0.21,1.07
1.739,-0.11,-0.21,1.07
1.748,-0.1,-0.21,1.1
1.75,-0.1,-0.23,1.08
1.753,-0.1,-0.23,1.08
1.763,-0.11,-0.24,1.05
1.765,-0.13,-0.24,1.04
1.768,-0.13,-0.24,1.04
1.779,-0.15,-0.24,1.02
1.781,-0.19,-0.24,1.03
1.784,-0.21,-0.23,1.03
1.788,-0.23,-0.22,1.03
1.797,-0.23,-0.2,1.05
1.799,-0.22,-0.18,1.06
1.803,-0.22,-0.18,1.04
1.812,-0.22,-0.17,1.04
1.814,-0.21,-0.18,1.03
1.819,-0.19,-0.18,1.02
1.828,-0.17,-0.21,1.01
1.83,-0.16,-0.21,1.01
1.833,-0.16,-0.23,1.02
1.838,-0.15,-0.24,1
1.848,-0.13,-0.25,1
1.85,-0.12,-0.27,0.97
1.853,-0.13,-0.27,0.97
1.863,-0.12,-0.28,0.96
1.865,-0.13,-0.28,0.96
1.868,-0.13,-0.29,0.96
1.879,-0.12,-0.28,0.97
1.881,-0.11,-0.28,0.99
1.883,-0.1,-0.27,1
1.894,-0.08,-0.29,1.01
1.896,-0.08,-0.3,1.03
1.898,-0.07,-0.3,1.05
1.903,-0.08,-0.29,1.04
1.913,-0.09,-0.3,1.02
1.915,-0.1,-0.29,1.01
1.917,-0.1,-0.29,1
1.929,-0.1,-0.29,0.96
1.931,-0.09,-0.29,0.95
1.933,-0.08,-0.29,0.94
1.937,-0.08,-0.31,0.93
1.948,-0.07,-0.31,0.94
1.95,-0.07,-0.3,0.92
1.953,-0.06,-0.31,0.92
1.962,-0.06,-0.31,0.92
1.964,-0.05,-0.31,0.92
1.967,-0.04,-0.31,0.93
1.971,-0.04,-0.31,0.94
1.98,-0.04,-0.32,0.98
1.982,-0.05,-0.3,0.99
1.986,-0.06,-0.31,1.02
1.996,-0.08,-0.3,1.02
1.997,-0.08,-0.29,1.02
2.002,-0.1,-0.29,1.02
2.013,-0.11,-0.29,1.04
2.014,-0.12,-0.29,1.02
2.017,-0.13,-0.29,1.02
2.028,-0.14,-0.28,1.01
2.03,-0.13,-0.26,1.04
2.032,-0.11,-0.26,1.04
2.037,-0.1,-0.27,1.04
2.046,-0.09,-0.27,1.05
2.048,-0.09,-0.27,1.04
2.051,-0.11,-0.29,1.04
2.062,-0.11,-0.28,1.02
2.064,-0.12,-0.29,1.02
2.066,-0.11,-0.29,1.02
2.069,-0.12,-0.28,0.99
2.079,-0.13,-0.28,0.98
2.081,-0.13,-0.27,0.97
2.085,-0.13,-0.27,0.95
2.093,-0.12,-0.26,0.95
2.095,-0.12,-0.25,0.97
2.101,-0.12,-0.26,0.98
2.11,-0.12,-0.26,0.97
2.112,-0.12,-0.26,0.97
2.115,-0.12,-0.27,0.99
2.12,-0.14,-0.28,0.98
2.127,-0.14,-0.28,0.97
2.129,-0.16,-0.27,0.98
2.135,-0.16,-0.27,0.98
2.144,-0.16,-0.26,0.97
2.145,-0.16,-0.28,0.99
2.15,-0.16,-0.27,0.99
2.154,-0.17,-0.28,0.98
2.162,-0.18,-0.27,0.95
2.164,-0.18,-0.27,0.98
2.169,-0.18,-0.28,0.97
2.176,-0.18,-0.27,0.96
2.18,-0.18,-0.27,0.97
2.184,-0.18,-0.27,0.97
2.195,-0.17,-0.27,0.99
2.197,-0.16,-0.28,0.99
2.2,-0.14,-0.28,1
2.204,-0.13,-0.29,0.99
2.213,-0.13,-0.29,0.99
2.215,-0.13,-0.3,0.97
2.219,-0.13,-0.3,0.98
2.229,-0.14,-0.3,0.95
2.231,-0.13,-0.29,0.94
2.234,-0.14,-0.28,0.95
2.244,-0.14,-0.27,0.95
2.246,-0.15,-0.28,0.97
2.249,-0.15,-0.29,0.93
2.253,-0.16,-0.31,0.93
2.263,-0.15,-0.32,0.9
2.265,-0.15,-0.31,0.91
2.268,-0.15,-0.29,0.94
2.282,-0.15,-0.28,0.96
2.285,-0.16,-0.28,0.94
2.289,-0.16,-0.28,0.95
2.291,-0.17,-0.28,0.98
2.294,-0.17,-0.28,0.97
2.308,-0.18,-0.27,1
2.311,-0.18,-0.27,1.02
2.314,-0.18,-0.27,1.01
2.316,-0.18,-0.26,1.01
2.318,-0.18,-0.27,0.99
2.332,-0.17,-0.26,0.99
2.334,-0.16,-0.25,0.98
2.337,-0.16,-0.25,0.98
2.339,-0.15,-0.25,0.96
2.342,-0.16,-0.25,0.95
2.354,-0.16,-0.25,0.96
2.356,-0.16,-0.25,0.99
2.358,-0.16,-0.25,0.99
2.362,-0.16,-0.26,0.99
2.367,-0.16,-0.24,0.98
2.378,-0.18,-0.25,0.99
2.38,-0.19,-0.25,0.97
2.382,-0.2,-0.24,0.97
2.387,-0.21,-0.24,0.96
2.396,-0.2,-0.23,0.98
2.398,-0.21,-0.24,0.98
2.402,-0.21,-0.23,0.97
2.411,-0.2,-0.23,0.99
2.413,-0.19,-0.23,0.98
2.416,-0.19,-0.24,0.99
2.429,-0.19,-0.26,0.98
2.43,-0.18,-0.25,0.99
2.432,-0.19,-0.25,0.98
2.436,-0.19,-0.25,0.99
2.444,-0.2,-0.25,0.97
2.446,-0.19,-0.24,0.98
2.451,-0.2,-0.24,0.96
2.461,-0.2,-0.25,0.96
2.463,-0.2,-0.25,0.97
2.466,-0.2,-0.25,0.94
2.47,-0.2,-0.25,0.95
2.48,-0.21,-0.26,0.93
2.482,-0.2,-0.26,0.94
2.485,-0.2,-0.26,0.94
2.496,-0.19,-0.26,0.94
2.498,-0.19,-0.26,0.94
2.501,-0.19,-0.27,0.94
2.511,-0.19,-0.27,0.94
2.513,-0.2,-0.28,0.94
2.516,-0.2,-0.28,0.96
2.52,-0.22,-0.27,0.98
2.53,-0.23,-0.26,0.98
2.532,-0.24,-0.26,0.99
2.536,-0.25,-0.25,0.97
2.551,-0.26,-0.26,0.97
2.554,-0.26,-0.25,0.95
2.555,-0.27,-0.25,0.93
2.557,-0.28,-0.26,0.92
2.568,-0.28,-0.24,0.91
2.57,-0.29,-0.24,0.89
2.572,-0.28,-0.25,0.92
2.585,-0.27,-0.26,0.95
2.587,-0.25,-0.27,0.96
2.589,-0.24,-0.28,0.95
2.59,-0.24,-0.27,0.95
2.601,-0.24,-0.28,0.93
2.604,-0.25,-0.29,0.91
2.606,-0.26,-0.29,0.91
2.619,-0.24,-0.29,0.91
2.621,-0.23,-0.29,0.93
2.623,-0.23,-0.28,0.93
2.624,-0.22,-0.28,0.91
2.634,-0.22,-0.28,0.88
2.636,-0.23,-0.28,0.85
2.652,-0.23,-0.28,0.79
2.654,-0.25,-0.26,0.77
2.655,-0.28,-0.25,0.72
2.657,-0.28,-0.26,0.75
2.658,-0.28,-0.27,0.79
2.669,-0.25,-0.27,0.86
2.671,-0.24,-0.28,0.9
2.685,-0.22,-0.29,0.91
2.687,-0.22,-0.3,0.93
2.688,-0.2,-0.31,0.92
2.69,-0.2,-0.31,0.93
2.704,-0.21,-0.31,0.91
2.706,-0.24,-0.31,0.91
2.707,-0.27,-0.3,0.87
2.709,-0.29,-0.31,0.9
2.718,-0.29,-0.3,0.93
2.72,-0.28,-0.3,1.01
2.723,-0.27,-0.29,1.05
2.735,-0.25,-0.3,1.08
2.737,-0.27,-0.31,1.09
2.738,-0.27,-0.32,1.09
2.751,-0.27,-0.32,1.09
2.753,-0.28,-0.32,1.09
2.754,-0.27,-0.32,1.11
2.768,-0.27,-0.31,1.08
2.769,-0.28,-0.29,1.08
2.771,-0.29,-0.3,1.07
2.785,-0.3,-0.32,1.05
2.787,-0.3,-0.32,1.04
2.788,-0.31,-0.32,1.04
2.801,-0.31,-0.34,1
2.803,-0.32,-0.33,0.98
2.804,-0.32,-0.34,0.97
2.817,-0.32,-0.33,0.96
2.819,-0.33,-0.32,0.95
2.821,-0.33,-0.31,0.93
2.822,-0.33,-0.31,0.93
2.835,-0.33,-0.3,0.93
2.836,-0.33,-0.32,0.92
2.837,-0.34,-0.31,0.92
2.851,-0.34,-0.31,0.94
2.853,-0.32,-0.32,0.91
2.854,-0.32,-0.32,0.92
2.856,-0.32,-0.34,0.91
2.868,-0.31,-0.35,0.91
2.87,-0.31,-0.33,0.93
2.872,-0.31,-0.32,0.93
2.885,-0.29,-0.33,0.93
2.887,-0.28,-0.32,0.94
2.888,-0.29,-0.33,0.93
2.901,-0.29,-0.34,0.93
2.903,-0.29,-0.34,0.95
2.905,-0.28,-0.33,0.93
2.906,-0.28,-0.32,0.94
2.918,-0.28,-0.33,0.93
2.919,-0.3,-0.33,0.91
2.921,-0.28,-0.33,0.89
2.935,-0.29,-0.34,0.89
2.937,-0.29,-0.34,0.89
2.939,-0.29,-0.33,0.91
2.941,-0.3,-0.33,0.92
2.946,-0.3,-0.33,0.91
2.95,-0.3,-0.33,0.89
2.96,-0.29,-0.33,0.88
2.962,-0.31,-0.32,0.87
2.965,-0.32,-0.32,0.87
2.978,-0.33,-0.32,0.88
2.98,-0.34,-0.32,0.89
2.983,-0.34,-0.32,0.91
2.985,-0.35,-0.31,0.9
2.995,-0.33,-0.31,0.9
2.996,-0.33,-0.3,0.93
3,-0.32,-0.31,0.94
3.011,-0.31,-0.32,0.95
3.013,-0.3,-0.32,0.97
3.015,-0.3,-0.32,0.94
3.018,-0.31,-0.33,0.95
3.027,-0.31,-0.32,0.94
3.029,-0.32,-0.32,0.93
3.033,-0.32,-0.31,0.95
3.043,-0.32,-0.32,0.95
3.045,-0.33,-0.31,0.94
3.05,-0.34,-0.33,0.94
3.064,-0.35,-0.32,0.93
3.066,-0.36,-0.33,0.91
3.067,-0.37,-0.32,0.89
3.069,-0.37,-0.31,0.87
3.083,-0.38,-0.31,0.86
3.084,-0.38,-0.31,0.84
3.086,-0.4,-0.31,0.85
3.088,-0.4,-0.31,0.85
3.106,-0.39,-0.3,0.87
3.108,-0.38,-0.3,0.87
3.109,-0.38,-0.31,0.9
3.111,-0.36,-0.32,0.89
3.112,-0.36,-0.32,0.9
3.117,-0.35,-0.31,0.89
3.125,-0.36,-0.31,0.88
3.127,-0.38,-0.32,0.88
3.132,-0.4,-0.31,0.85
3.142,-0.43,-0.29,0.83
3.144,-0.45,-0.28,0.82
3.147,-0.46,-0.27,0.82
3.151,-0.46,-0.26,0.8
3.163,-0.45,-0.26,0.78
3.165,-0.45,-0.26,0.79
3.167,-0.43,-0.27,0.81
3.177,-0.41,-0.27,0.8
3.179,-0.38,-0.28,0.8
3.181,-0.37,-0.3,0.79
3.192,-0.33,-0.32,0.8
3.194,-0.32,-0.32,0.79
3.198,-0.32,-0.32,0.83
3.201,-0.3,-0.32,0.81
3.21,-0.32,-0.32,0.82
3.212,-0.35,-0.32,0.84
3.217,-0.38,-0.32,0.85
3.226,-0.39,-0.31,0.87
3.227,-0.39,-0.29,0.85
3.232,-0.4,-0.29,0.86
3.243,-0.42,-0.29,0.81
3.245,-0.44,-0.27,0.79
3.247,-0.47,-0.26,0.78
3.252,-0.5,-0.26,0.77
3.262,-0.51,-0.26,0.77
3.264,-0.52,-0.28,0.79
3.266,-0.52,-0.27,0.83
3.278,-0.51,-0.27,0.85
3.281,-0.5,-0.27,0.86
